Name,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
Noble Rot,"51 Lamb’s Conduit Street, London WC1N 3NB England",408,"#1,069", See all hours,$$ - $$$,"[' Pub', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
Angus Steakhouse Piccadilly Circus,"21 Coventry Street Piccadilly Circus, London W1D 7AE England","5,734","#1,072",8:30 AM - 12:00 AM,$$ - $$$,"[' Steakhouse', ' British']",8:30 AM - 12:00 AM
Burger & Lobster Oxford Circus,"6 Little Portland Street Fitzrovia, London W1W 7JE England","1,093","#1,070", See all hours,$$ - $$$,"[' American', ' Seafood']",12:00 PM - 10:00 PM
Franco Manca Brixton,"20 Atlantic Rd, London SW9 8JA England",947,"#1,071",+44 20 7738 3021,$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",176,#176,+44 20 7928 7414,$$ - $$$,"[' Steakhouse', ' Barbecue', ' Grill']",12:00 PM - 10:00 PM
Prezzo Italian Restaurant London St Martins Lane,"116 St. Martin's Lane, London WC2N 4BD England","1,411","#1,066",+44 20 8187 1642,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",11:30 AM - 10:30 PM
Bulls Head,"15 Strand on the Green Kew, London W4 3PQ England",751,"#1,074",+44 20 8994 1204,$$ - $$$,"[' Bar', ' British', ' Pub']",10:00 AM - 10:30 PM
Blueberry's - Jerome´s Kitchen,"121 Lee Rd, London SE3 9DS England",93,"#1,076",+44 20 8463 0011,$$ - $$$,"[' French', ' Cafe', ' British']",9:00 AM - 3:00 PM
Rabbit,"172 Kings Road, London SW3 4UP England",717,"#1,088",+44 20 3750 0172,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 8:00 PM
Il Vicolo,"3-4 Crown Passage Pall Mall, London SW1Y 6PP England",285,"#1,050",+44 20 7839 3960,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",12:00 PM - 2:30 PM
Tonis Amalfi,"123 Queenstown Road, London SW8 3RH England",240,#147,+44 20 3583 4830,$$ - $$$,"[' Italian', ' Pizza', ' Seafood']",12:00 PM - 3:00 PM
Wildwood Kitchen,"184 Shaftesbury Avenue, London WC2H 8JB England",590,"#1,077",+44 20 7379 0198,$$ - $$$,"[' Italian', ' Pizza', ' European']",12:00 PM - 10:30 PM
Park's Edge Bar and Kitchen,"49-51 Norwood Road Herne Hill, London SE24 9AA England",162,"#1,061",+44 20 8671 0306,$$ - $$$,"[' British', ' Contemporary', ' Fusion']",10:00 AM - 4:00 PM
Primavera,"106 New Kings Road, London SW6 4LY England",208,"#1,079",+44 20 7731 0156,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:30 PM
Bacco,"39-41 Kew Road, Richmond-upon-Thames TW9 2NQ England",457,#18,+44 20 8332 0348,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",11:45 AM - 3:30 AM
Fiore Dell Amore,"192A Brick Lane, London E1 6SA England",33,"#6,858",+44 20 3827 9445,$$ - $$$,"[' Italian', ' Pizza', ' Cafe']",10:00 AM - 11:00 PM
Grilandia Chiswick,"4 Turnham Green Terrace, London W4 1QP England",49,"#1,083",+44 20 8994 3353,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Healthy']",Open Hours Not Found
Galvin Bistrot & Bar,"35 Spital Square, London E1 6DY England",611,"#1,078",+44 20 7299 0404,$$ - $$$,"[' Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']",12:00 PM - 3:00 PM
Sticks'n'Sushi Wimbledon,"58 Wimbledon Hill Road, London SW19 7PA England",747,"#1,081",+44 20 3141 8800,$$ - $$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 10:00 PM
Mucci’s,"442 Kings Road, London SW10 0LQ England",281,"#1,084",+44 20 3848 8699,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:45 PM
Masala Zone Covent Garden,"48 Floral Street Covent Garden, London WC2E 9DA England","3,269","#1,078",+44 20 7379 0101,$$ - $$$,"[' Indian', ' Healthy', ' Vegetarian Friendly']",12:30 PM - 10:00 PM
Ceru Queensway,"11 Queensway, London W2 4QJ England",63,"#1,087",+44 20 3195 3002,$$ - $$$,"[' Mediterranean', ' Fusion', ' Healthy']",11:00 AM - 10:00 PM
Gaucho,"89 Sloane Avenue, London SW3 3DX England",827,"#1,086",+44 20 7584 9901,$$$$,"[' Steakhouse', ' Latin', ' Argentinean']",12:00 PM - 10:30 PM
The Rubens at the Palace,"39 Buckingham Palace Road, London SW1W 0PS England",721,"#1,088",+44 20 7834 6600,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 6:00 PM
Hot Stone,"9 Chapel Market Angel Islington, London N1 9EZ England",938,#755,+44 20 3302 8226,$$ - $$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 2:00 PM
The Royal Standard,"44 Vanbrugh Park Blackheath, London SE3 7JQ England",262,"#1,089", See all hours,$$ - $$$,"[' Brew Pub', ' British']",12:00 PM - 10:30 PM
Mirror Room,"Rosewood, London WC1V 7EN England",333,"#1,090",+44 20 3747 8670,$$$$,"[' European', ' British', ' Vegetarian Friendly']",7:00 AM - 10:00 PM
Lima,"31 Rathbone Place Fitzrovia, London W1T 1JH England","1,281","#1,092",+44 20 3002 2640,$$$$,"[' Peruvian', ' Latin', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Cafe Paolo,"1 East Vale, The Vale, London W3 7RU England",93,"#1,095",+44 20 8740 0591,$,"[' Cafe', ' British', ' Healthy']",5:30 AM - 3:00 PM
Bonoo Indian Tapas Hampstead ,"675 Finchley Road, London NW2 2JP England","2,845",#1,+44 20 7794 8899,$$ - $$$,"[' Indian', ' Grill', ' Healthy']",5:30 PM - 10:30 PM
50 Kalò di Ciro Salvo,"7 Northumberland Avenue, London WC2N 5BY England",739,"#1,094",+44 20 7930 9955,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:00 PM
The Prince Edward,"73 Princes Square, London W2 4NY England","1,106","#1,093",+44 20 7243 2795,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 8:00 PM
Paradise Green,"100 Bishopsgate, London EC2M 1GT England",111,"#1,098",+ Add hours,$$ - $$$,"[' Australian', ' Vegetarian Friendly']",Open Hours Not Found
Arabica Borough Market,"3 Rochester Walk Borough Market, London SE1 9AF England",997,"#1,097",+44 20 3011 5151,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Healthy']",12:00 PM - 10:00 PM
The Avocado Show London Mayfair,"6 Princes Street, London W1B 2LG England",89,"#3,543",+44 7594 561103,$$ - $$$,"[' International', ' European', ' Contemporary']",9:00 AM - 8:00 PM
Jamon Jamon Soho,"3 Caxton Walk, London WC2H 8PW England","1,729",#775,+44 20 7836 6969,$$ - $$$,"[' International', ' Mediterranean', ' European']",12:00 PM - 11:30 PM
Vivat Bacchus,"47 Farringdon Street Farringdon, London EC4A 4LL England",313,"#1,102",+44 20 7353 2648,$$ - $$$,"[' African', ' Wine Bar', ' Vegetarian Friendly']",Open Hours Not Found
The Gipsy Moth,"60 Greenwich Church Street, London SE10 9BL England","1,089","#1,101",+44 20 8858 0786,$$ - $$$,"[' Bar', ' International', ' British']",12:00 PM - 11:00 PM
North Pole Restaurant,"131 Greenwich High Road, London SE10 8JA England",544,"#1,103",+44 20 8079 7465,$$ - $$$,"[' Bar', ' Grill', ' Vegetarian Friendly']",12:00 PM - 12:00 AM
Olivelli - Waterloo,"61 The Cut, London SE1 8LL England",846,"#1,104",+44 20 7261 1221,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:00 PM
The Fish House of Notting Hill,"29 Pembridge Road Notting HIll, London W11 3HG England",826,"#1,106", See all hours,$$ - $$$,"[' Seafood', ' British']",12:00 PM - 9:00 PM
Enoteca Turi,"87 Pimlico Rd, London SW1W 8PH England",431,"#1,107",+44 20 7730 3663,$$$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",12:00 PM - 3:00 PM
Scott's,"20 Mount Street, London W1K 2HE England","2,815","#1,105",+44 20 7495 7309,$$$$,"[' Seafood', ' European', ' British']",12:00 PM - 9:30 PM
Addie's Thai Cafe,"121 Earls Court Road, London SW5 9RL England",484,"#1,109",+44 20 7259 2620,$$ - $$$,"[' Asian', ' Thai', ' Vegetarian Friendly']",12:00 PM - 3:00 PM
RAI London Tottehnam Court Road,"11-13 Bayley St, London WC1B 3HD England",1,"11-13 Bayley St, London WC1B 3HD England",Phone Not Found,Pricing Not Found,Cuisine Type Not Found,5:00 PM - 9:00 PM
Santa Maria del Sur,"129 Queenstown Road, London SW8 3RH England",567,"#1,111",+44 20 7622 2088,$$ - $$$,"[' Steakhouse', ' Latin', ' Grill']",12:00 PM - 10:00 PM
Humble Grape Liverpool Street,"8 Devonshire Row off Bishopsgate, London EC2M 4RH England",139,"#1,115",+44 20 3887 9287,$$ - $$$,"[' European', ' Contemporary', ' Wine Bar']",3:00 PM - 11:00 PM
Zaman,"Old Quebec Street The Sportsman Casino, London W1H 7AF England",199,"#1,114",+44 20 7414 0061,$$ - $$$,"[' European', ' Middle Eastern', ' Arabic']",6:00 PM - 1:00 AM
TigerBay Shisha Lounge,"234 Kingsbury Road, London NW9 0BH England",425,#913,+44 7488 880203,$$ - $$$,"[' Bar', ' International', ' Asian']",12:00 PM - 2:00 AM
Maroush Express,"68 Edgware Road, London W2 England",841,"#1,117",+44 20 7224 9339,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Middle Eastern']",12:00 PM - 12:00 AM
The Bountiful Cow,"51 Eagle Street, London WC1R 4AP England",347,"#1,120",+44 20 7404 0200,$$ - $$$,"[' Steakhouse', ' Bar', ' British']",12:00 PM - 11:00 PM
Veeraswamy,"99 Regent Street Mezzanine Floor, Victory House, London W1B 4RS England","2,239","#1,108",+44 20 7734 1401,$$$$,"[' Indian', ' Asian', ' Grill']",12:00 PM - 2:30 PM
"The Hung Drawn & Quartered, EC3","26-27 Great Tower Street, London EC3R 5AQ England",875,"#1,121",+44 20 7626 6123,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 6:00 PM
Mielo Restaurant,"35 Paddington Street, London W1U 4HQ England",49,"#1,677",+44 7542 031110,$$ - $$$,"[' Italian', ' French', ' Mediterranean']",10:00 AM - 11:00 PM
Red Chilli,"137 Leman Street Nearest tube Aldgate East,Tower Hill,Aldgate, London E1 8EY England",372,"#1,067",+44 20 7481 3300,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",5:30 AM - 11:30 AM
Hudson's House,"12 Bedford Avenue St Giles Hotel, London WC1B 3GH England",674,"#1,122",+44 20 7631 3584,$$ - $$$,"[' European', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:45 PM
The Melusine,"Ivory House, East Smithfield St Katharine Docks, London E1W 1AT England",121,"#1,082",+44 20 7702 2976,$$ - $$$,"[' Seafood', ' Vegetarian Friendly', ' Gluten Free Options']",12:00 PM - 9:30 PM
Agra Restaurant,"137 Whitfield Street Bloomsbury, London W1T 5EL England",355,"#1,124",+44 20 7387 8833,$$ - $$$,"[' Indian', ' Asian', ' Balti']",6:00 PM - 11:30 PM
Trade,"47 Commercial Street, London E1 6BD England",365,"#1,126",+44 20 3490 1880,$$ - $$$,"[' Cafe', ' European', ' British']",7:30 AM - 5:00 PM
Brasserie Blanc Threadneedle Street,"60 Threadneedle Street, London EC2R 8HP England",435,"#1,096",+44 20 7710 9440,$$ - $$$,"[' French', ' European', ' Vegetarian Friendly']",7:30 AM - 11:00 PM
Tamarind,"20 Queen Street Mayfair, London W1J 5PR England","1,747","#1,119",+44 20 7629 3561,$$$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Pizarro Restaurant,"194 Bermondsey Street, London SE1 3TQ England",733,"#1,160",+44 20 7378 9455,$$ - $$$,"[' Spanish', ' Vegetarian Friendly', ' Gluten Free Options']",12:00 PM - 8:45 PM
La Pappardella,"253 Old Brompton Road, London SW5 9HP England","1,212","#1,123",+44 20 7373 7777,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 12:00 AM
Pane Cunzato - Pizza & more,"49 Museum Street, London WC1A 1LY England",709,#501,+44 20 3581 1747,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 9:30 PM
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",56,#465,+44 20-3988 014,$$ - $$$,"[' International', ' Pub', ' Healthy']",6:30 AM - 10:00 PM
Satay House,"13 Sale Place Paddington, London W2 1PX England",552,"#1,128",+44 20 7723 6763,$$ - $$$,"[' Asian', ' Malaysian', ' Vegetarian Friendly']",12:00 PM - 4:00 PM
Thames Foyer at The Savoy,"The Strand The Savoy Hotel, London WC2R 0EZ England","1,706","#1,134",+44 20 7420 2111,$$$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:30 PM - 5:15 PM
Frankie & Benny's,"Bugsby's Way Bugsby Way, London SE7 7ST England",437,"#1,130",+44 20 8858 9430,$$ - $$$,"[' Italian', ' American', ' Diner']",9:00 AM - 10:00 PM
The Grenadier,"18 Wilton Row Belgrave Square, London SW1X 7NR England",397,"#1,131",+44 20 7235 3074,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 9:00 PM
El Vaquero,"2 Hale Lane Mill Hill, London NW7 3NX England",350,"#1,132",+44 20 8906 8504,$$ - $$$,"[' Brazilian', ' Barbecue', ' Argentinean']",5:30 PM - 11:00 PM
Hithe + Seek,"60 Upper Thames St The Westin London City, Third Floor, London EC4V 3AD England",48,"#1,775",+44 20 3988 0141,$$ - $$$,"[' Bar', ' International', ' Dining bars']",4:00 PM - 12:00 AM
Friends of Flavours,"4 Green Lane Penge, London SE20 7JA England",321,"#1,133",+44 20 8659 7427,$$ - $$$,"[' Italian', ' European', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Numidie Bistro,"48 Westow Hill Crystal Palace, London SE19 1RX England",229,"#1,135",+44 871 332 8466,$$ - $$$,"[' Moroccan', ' Mediterranean', ' Middle Eastern']",12:00 PM - 10:30 PM
Jeru,"11 Berkeley Street, London W1J 8DS England",159,"#1,113",+44 20 3988 0054,$$$$,"[' Mediterranean', ' Middle Eastern', ' Vegetarian Friendly']",12:00 PM - 2:45 PM
BEASY Soho,"58 Greek Street Ground Floor, London W1D 3DY England",6,"#10,037",+44 7930 008464,$$ - $$$,"[' American', ' Bar', ' European']",5:00 PM - 10:30 PM
Red Lion And Sun,"25 North Road, London N6 4BE England",399,"#1,139",+44 20 8340 1780,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 11:00 PM
Gordon Ramsay Bar & Grill - Park Walk,"11 Park Walk, London SW10 0AJ England",619,"#1,140",+44 20 7255 9299,$$ - $$$,"[' Steakhouse', ' European', ' British']",11:30 AM - 10:00 PM
Brawn,"49 Columbia Road, London E2 7RG England",357,"#1,143",+44 20 7729 5692,$$ - $$$,"[' European', ' Vegetarian Friendly', ' Gluten Free Options']",12:00 PM - 2:30 PM
Mr Fogg's Residence,"15 Bruton Lane Mayfair, London W1J 6JD England",952,"#1,129", See all hours,$$ - $$$,"[' Bar', ' British']",5:00 PM - 2:00 AM
Tajmahal Indian Cuisine ,"339 Gray's Inn Road Kings cross station, London WC1X 8PX England",191,#223,+44 20 7837 6370,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 12:00 AM
Hafez Restaurant,"5 Hereford Road, London W2 4AB England",534,"#1,145",+44 20 7229 9398,$$ - $$$,"[' Middle Eastern', ' Persian', ' Vegetarian Friendly']",1:00 PM - 10:00 PM
Sidi Bou - London,"Haven Green, London W5 2NX England",114,"#1,147",+44 7539 388359,$$ - $$$,"[' African', ' Mediterranean', ' Middle Eastern']",11:00 AM - 7:00 PM
Kai Mayfair,"65 South Audley Street, London W1K 2QU England",813,"#1,146",+44 20 7493 8988,$$$$,"[' Chinese', ' Asian', ' Cantonese']",12:00 PM - 2:30 PM
Paolo's Italian Ristorante,"7 Hanger Green Ealing, London W5 3EL England",222,"#1,148",+44 20 8997 8560,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Gluten Free Options']",12:00 PM - 3:00 PM
Siam Garden,"5 Hogarth Place Earl's Court Station, London SW5 0QT England",415,"#1,149",+44 20 7370 4371,$$ - $$$,"[' Asian', ' Thai', ' Vegetarian Friendly']",5:00 PM - 10:00 PM
"Coyote Ugly Saloon, London Piccadilly","30 Shaftesbury Avenue, London W1D 7EP England",46,#407,"30 Shaftesbury Avenue, London W1D 7EP England",$$ - $$$,[' American'],12:00 PM - 3:00 AM
Mi Cocina Es Tuya,"61 Westow Street Crystal Palace, London SE19 3RW England",127,"#1,154",+44 20 8771 4078,$$ - $$$,"[' Latin', ' Cafe', ' Venezuelan']",11:00 AM - 3:00 PM
28-50 Wine Workshop & Kitchen South Kensington,"96 Draycott Avenue South Kensington, London SW3 3AD England",120,"#1,153",+44 20 7499 1076,$$ - $$$,"[' French', ' Seafood', ' European']",12:00 PM - 11:30 PM
Gordon Ramsay Bar & Grill,"10-13 Grosvenor Square London Marriott Hotel Grosvenor Square, London W1K 6JP England","2,823","#1,155",+44 20 7495 2211,Steakhouse,"[' European', ' British', ' Grill']",7:30 AM - 11:00 PM
Honest Burgers Waterloo,"39 The Cut, Waterloo, London SE1 8LF England",141,"#1,158",+44 20 3597 6266,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",11:30 AM - 10:00 PM
Mien Tay,"180 Lavender Hill, London SW11 5TQ England",326,"#4,424",+44 20 7350 0721,$,"[' Vietnamese', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
Little Social,"5 Pollen Street, London W1S 1NE England",788,"#1,156",+44 20 7870 3730,$$$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 2:15 PM
Côte Hay's Galleria,"Tooley Street Counter Street, London SE1 2HD England","2,053","#1,158",+44 20 7234 0800,$$ - $$$,"[' French', ' European', ' Vegetarian Friendly']",8:00 AM - 10:00 PM
Bibo Shoreditch,"45 Curtain Road, London EC2A 3PT England",143,"#1,161",+44 20 3988 4455,$$$$,"[' Mediterranean', ' European', ' Spanish']",11:00 AM - 10:30 PM
Honest Burgers Old Street,"Old St 6 Baldwin Street, London EC1V 9NU England",246,"#1,162",+44 20 3597 6270,$$ - $$$,"[' Fast Food', ' British', ' Vegetarian Friendly']",11:30 AM - 10:00 PM
Carmen Tapas,"6 Clapham Common South Side underground : opposite Clapham Common station, London SW4 7AA England",336,"#2,357",+44 20 7622 6848,$$ - $$$,"[' International', ' Mediterranean', ' European']",12:00 PM - 10:00 PM
The Arts Club,"40 Dover Street Mayfair, London W1S 4NP England",381,"#1,165",+44 20 7499 8581,$$$$,"[' European', ' Vegetarian Friendly', ' Vegan Options']",7:30 AM - 3:00 AM
Union Viet,"120 Union Street Ewer Street, London SE1 0FR England",168,"#1,168",+44 20 3302 8828,$,"[' Asian', ' Vietnamese', ' Soups']",11:00 AM - 3:00 PM
Kibako London,"110 Great Portland Street, London W1W 6PQ England",4,"#9,901",+44 20 7637 4198,Pricing Not Found,Cuisine Type Not Found,12:00 PM - 2:00 PM
El Iberico,"21 The Oval, Sidcup DA15 9ER England",186,#10,+44 20 8300 4773,$$ - $$$,"[' Mediterranean', ' European', ' Spanish']",12:30 PM - 4:00 PM
Vespa Italian Restaurant,"9a Irving Street, London WC2H 7AH England",618,"#1,172",+44 20 7839 6678,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:30 PM
Franx Continental Cafe,"192 Shaftesbury Avenue, London WC2H 8JL England",172,"#1,171",+44 20 7836 7989,$,"[' Cafe', ' European', ' British']",Open Hours Not Found
Mildreds Dalston,"1 Thomas Tower Dalston Square, London E8 3GU England",154,"#1,175",+44 20 8017 1815,$$ - $$$,"[' Indian', ' International', ' British']",9:00 AM - 10:00 PM
Yak & Yeti - Finsbury Park,"143 Stroud Green Road Finsbury Park, London N4 3PZ England",290,"#2,044",+44 20 7263 2112,$$ - $$$,"[' Indian', ' Asian', ' Tibetan']",12:00 PM - 11:30 PM
Vantra Vegan Restaurant,"5 Wardour Street, London W1D 6PB England",177,"#1,137",+44 20 7287 5222,$$ - $$$,"[' International', ' Healthy', ' Vegetarian Friendly']",12:00 PM - 8:00 PM
The Lamb Tavern,"10-12 Leadenhall Market, London EC3V 1LR England",365,"#1,152",+44 20 7626 2454,$$ - $$$,"[' Bar', ' British', ' Pub']",8:00 AM - 11:00 PM
Cafe Continente,"62 North End Road, London W14 9EP England",262,"#1,176",+44 20 7603 6311,$$ - $$$,"[' Cafe', ' European', ' British']",8:00 AM - 4:00 PM
Le Vacherin,"76-77 South Parade Chiswick, London W4 5LF England",624,"#1,178",+44 20 8742 2121,$$ - $$$,"[' French', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 4:00 PM
Steakout Stratford,"150 The Grove, London E15 1NS England",123,"#7,018",+44 20 8534 1727,$$ - $$$,"[' Steakhouse', ' Grill', ' Halal']",12:00 PM - 11:00 PM
Great Nepalese,"48 Eversholt Street, London NW1 1DA England",373,"#1,150",+44 20 7388 6737,$$ - $$$,"[' Asian', ' Nepali', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Bill's Soho Restaurant,"36-44 Brewer Street, London W1F 9TB England","2,380","#1,175",+44 20 8054 5400,$$ - $$$,"[' European', ' British', ' Deli']",8:00 AM - 11:45 PM
Mr Fogg's City Tavern,"37 Broadgate Broadgate Circle, London EC2M 2QS England",234,"#1,180",+44 20 7590 5257,$$ - $$$,"[' Bar', ' British', ' Vegan Options']",Open Hours Not Found
Tierra Peru,"164 Essex Road Islington, London N1 8LY England",713,#437,+44 20 7354 5586,$$ - $$$,"[' Peruvian', ' Latin', ' International']",12:00 PM - 10:00 PM
Stk Steakhouse Strand,"336-337 Strand ME London Hotel, London WC2R 1HA England","2,591","#1,163",+44 20 3137 2520,$$$$,"[' American', ' Steakhouse', ' British']",12:00 PM - 12:00 AM
L'Autre,"5B Shepherd Street Mayfair, London W1J 7HP England",318,"#1,181",+44 20 7499 4680,$$ - $$$,"[' Mexican', ' Polish', ' European']",1:00 PM - 11:00 PM
Slug & Lettuce The O2,"The O2, North Greenwich 14 Peninsula Square, London SE10 0DY England",797,"#1,206",+44 20 3375 6323,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
Som Saa,"43A Commercial Street, London E1 6BD England",488,"#1,182",+44 20 7324 7790,$$ - $$$,"[' Asian', ' Thai', ' Healthy']",12:00 AM - 3:00 PM
Tukdin,"41 Craven Road, London W2 3BX England",472,"#1,184",+44 20 7723 6955,$$ - $$$,"[' Asian', ' Malaysian', ' Vegetarian Friendly']",12:00 PM - 10:30 PM
Jamon Jamon Camden,"38 Parkway, London NW1 7AH England",498,"#1,690",+44 20 7284 0606,$$ - $$$,"[' Mediterranean', ' European', ' Spanish']",12:00 PM - 11:30 PM
Zayna,"25 New Quebec Street Marble Arch, London W1H 7SF England",817,"#1,185",+44 20 7723 2229,$$ - $$$,"[' Indian', ' Asian', ' Pakistani']",12:00 PM - 2:30 PM
Bar Soho,"23-25 Old Compton Street, London W1D 5JL England",801,"#1,181","23-25 Old Compton Street, London W1D 5JL England",$$ - $$$,[' Bar'],3:00 PM - 12:30 AM
Heap's Sausages,"8 Nevada Street Greenwich, London SE10 9JL England",336,"#1,190",7:30 AM - 4:00 PM,$,"[' Cafe', ' British']",7:30 AM - 4:00 PM
Harry's Bar,"30-34 James Street Marylebone, London W1U 1ER England",679,"#1,193",+44 20 3971 9444,$$ - $$$,"[' Italian', ' Cafe', ' European']",10:30 AM - 11:00 PM
Bardo St James's,"4 Suffolk Place, Haymarket, London SW1Y 4HX England",40,"#5,803",+44 20 3828 2487,$$$$,"[' Italian', ' Bar', ' Mediterranean']",5:00 PM - 12:00 AM
Spring,"Lancaster Place Somerset House, New Wing, London WC2R 1LA England",690,"#1,190",+44 20 3011 0115,$$$$,"[' British', ' Contemporary', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Côte Soho,"124-126 Wardour Street Soho, London W1F 0TY England","1,306","#1,191",+44 20 7287 9280,$$ - $$$,"[' French', ' European', ' Vegetarian Friendly']",9:00 AM - 11:00 PM
L'Amorosa,"278 King Street Ravenscourt Park, London W6 0SP England",192,"#1,194",+44 20 8563 0300,$$ - $$$,"[' Italian', ' Mediterranean', ' Vegetarian Friendly']",6:00 PM - 9:00 PM
Royal Court Bar & Kitchen,"50-51 Sloane Square Royal Court Theatre, London SW1W 8AS England",444,"#1,195",+44 20 7565 5000,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",4:30 PM - 11:00 PM
Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",357,#67,+44 20 3744 5554,$$$$,"[' French', ' European', ' Contemporary']",12:15 PM - 2:00 PM
Bill’s Baker Street,"119-121 Baker Street, London W1U 6RY England",726,"#1,159",+44 20 7486 7701,$$ - $$$,"[' Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']",8:00 AM - 11:00 PM
The Cheese Bar,"Unit 93-94 Camden Stables, London NW1 8AH England",485,"#1,196",+44 20 7428 6441,$$ - $$$,"[' American', ' British', ' Vegetarian Friendly']",12:00 PM - 7:00 PM
Cicchetti,"215 Piccadilly, London W1J 9HL England","3,785","#1,169",+44 20 7494 9435,$$ - $$$,"[' Italian', ' Sicilian', ' Northern-Italian']",12:00 PM - 11:00 PM
The Duke of Wellington,"Notting Hill 179 Portobello Road, London W11 2ED England",605,"#1,197",+44 20 7727 6727,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
The Duchy Arms,"63 Sancroft St Kennington, London SE11 5UG England",179,"#1,198",+44 20 7735 6340,$$ - $$$,"[' Bar', ' British', ' Pub']",11:00 AM - 11:00 PM
Frontline Club,"13 Norfolk Place, London W2 1QJ England",426,"#1,199",+44 20 7046 7060,$$ - $$$,"[' Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']",11:00 AM - 11:00 PM
Victoria Taps,"27 Gillingham Street Westminster, London SW1V 1HP England",123,#35,+44 20 7096 6991,$$ - $$$,"[' Quick Bites', ' Brew Pub', ' Bar']",10:00 AM - 10:30 PM
Parsons,"39 Endell Street, London WC2H 9BA England",219,"#1,204",+44 20 3422 0221,$$ - $$$,"[' Seafood', ' British', ' Gluten Free Options']",12:00 PM - 10:00 PM
Jamon Jamon Belsize Park,"177 Haverstock Hill, London NW3 4QS England",297,"#3,495",+44 20 7483 4242,$$ - $$$,"[' International', ' Mediterranean', ' Spanish']",7:00 AM - 11:00 PM
Satyrio Restaurant & Wine Merchants,"49 Aldgate High Street, London EC3N 1AL England",190,"#1,203",+44 20 7488 3334,$$$$,"[' Italian', ' Mediterranean', ' Wine Bar']",12:00 PM - 9:30 PM
Daphne's,"112 Draycott Avenue, London SW3 3AE England",835,"#1,203",+44 20 7589 4257,$$$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:30 PM
New Fortune Cookie,"1 Queensway, London W2 4QJ England",508,"#1,205",+44 20 7727 7260,$$ - $$$,"[' Chinese', ' Asian', ' Cantonese']",12:00 PM - 10:00 PM
Burger & Lobster Soho,"36-38 Dean Str, London W1D 4PS England","3,945","#1,204",+44 20 7432 4800,$$ - $$$,"[' American', ' Seafood', ' Gluten Free Options']",12:00 PM - 10:00 PM
